sample,Gene,value,group,replicate
A_TP_30_REP_3,2410002F23Rik,23.07894765,Anterior,3
A_TP_30_REP_4,2410002F23Rik,23.34688232,Anterior,4
A_TP_60_REP_1,2410002F23Rik,23.33130587,Anterior,1
A_TP_60_REP_2,2410002F23Rik,23.21815267,Anterior,2
A_TP_60_REP_3,2410002F23Rik,23.13909947,Anterior,3
A_TP_60_REP_4,2410002F23Rik,22.92863523,Anterior,4
A_TP_90_REP_1,2410002F23Rik,23.22097119,Anterior,1
A_TP_90_REP_2,2410002F23Rik,23.61915142,Anterior,2
A_TP_90_REP_3,2410002F23Rik,23.24066461,Anterior,3
A_TP_90_REP_4,2410002F23Rik,23.15868638,Anterior,4
A_TP_120_REP_1,2410002F23Rik,23.06923224,Anterior,1
A_TP_120_REP_2,2410002F23Rik,23.17486807,Anterior,2
A_TP_120_REP_3,2410002F23Rik,23.21199963,Anterior,3
A_TP_120_REP_4,2410002F23Rik,23.07579781,Anterior,4
A_TP_30_REP_1,2610008E11Rik,18.09908362,Anterior,1
A_TP_30_REP_2,2610008E11Rik,17.36443713,Anterior,2
A_TP_30_REP_3,2610008E11Rik,17.42684642,Anterior,3
A_TP_30_REP_4,2610008E11Rik,17.80511199,Anterior,4
A_TP_60_REP_1,2610008E11Rik,17.36699304,Anterior,1
A_TP_60_REP_2,2610008E11Rik,17.5960064,Anterior,2
A_TP_60_REP_3,2610008E11Rik,18.44197487,Anterior,3
A_TP_60_REP_4,2610008E11Rik,17.00329478,Anterior,4
A_TP_90_REP_1,2610008E11Rik,17.58041552,Anterior,1
A_TP_90_REP_2,2610008E11Rik,16.65346995,Anterior,2
A_TP_90_REP_3,2610008E11Rik,16.58417106,Anterior,3
A_TP_90_REP_4,2610008E11Rik,17.68495924,Anterior,4
A_TP_120_REP_1,2610008E11Rik,17.60374519,Anterior,1
A_TP_120_REP_2,2610008E11Rik,18.23349854,Anterior,2
A_TP_120_REP_3,2610008E11Rik,17.45679786,Anterior,3
A_TP_120_REP_4,2610008E11Rik,18.3698014,Anterior,4
