sample,Gene,value,group,replicate
P_TP_90_REP_3,Rb1cc1,7.937456142,Posterior,3
P_TP_120_REP_1,Rb1cc1,7.487604128,Posterior,1
P_TP_120_REP_2,Rb1cc1,8.036380205,Posterior,2
P_TP_120_REP_3,Rb1cc1,7.938784611,Posterior,3
P_TP_30_REP_1,4732440D04Rik,2.546501065,Posterior,1
P_TP_30_REP_2,4732440D04Rik,1.849024298,Posterior,2
P_TP_30_REP_3,4732440D04Rik,3.969357811,Posterior,3
P_TP_60_REP_1,4732440D04Rik,0.945568387,Posterior,1
P_TP_60_REP_2,4732440D04Rik,2.901306042,Posterior,2
P_TP_60_REP_3,4732440D04Rik,3.946109787,Posterior,3
P_TP_90_REP_1,4732440D04Rik,3.657028395,Posterior,1
P_TP_90_REP_2,4732440D04Rik,4.505689461,Posterior,2
P_TP_90_REP_3,4732440D04Rik,4.223528751,Posterior,3
P_TP_120_REP_1,4732440D04Rik,2.065908618,Posterior,1
P_TP_120_REP_2,4732440D04Rik,1.938299759,Posterior,2
P_TP_120_REP_3,4732440D04Rik,3.078976438,Posterior,3
P_TP_30_REP_1,Pcmtd1,9.017204668,Posterior,1
P_TP_30_REP_2,Pcmtd1,8.69629911,Posterior,2
P_TP_30_REP_3,Pcmtd1,8.819459227,Posterior,3
P_TP_60_REP_1,Pcmtd1,8.750337336,Posterior,1
P_TP_60_REP_2,Pcmtd1,8.863007793,Posterior,2
P_TP_60_REP_3,Pcmtd1,8.733004449,Posterior,3
P_TP_90_REP_1,Pcmtd1,8.83382089,Posterior,1
P_TP_90_REP_2,Pcmtd1,8.783021861,Posterior,2
P_TP_90_REP_3,Pcmtd1,8.912282777,Posterior,3
P_TP_120_REP_1,Pcmtd1,9.049951987,Posterior,1
P_TP_120_REP_2,Pcmtd1,8.91447874,Posterior,2
P_TP_120_REP_3,Pcmtd1,9.031371221,Posterior,3
P_TP_30_REP_1,Gm26901,5.347158402,Posterior,1
P_TP_30_REP_2,Gm26901,4.328080581,Posterior,2
P_TP_30_REP_3,Gm26901,5.438357622,Posterior,3
P_TP_60_REP_1,Gm26901,5.317947825,Posterior,1
P_TP_60_REP_2,Gm26901,5.31564395,Posterior,2
P_TP_60_REP_3,Gm26901,5.767361568,Posterior,3
P_TP_90_REP_1,Gm26901,1.732455994,Posterior,1
P_TP_90_REP_2,Gm26901,4.747031032,Posterior,2
P_TP_90_REP_3,Gm26901,3.72693495,Posterior,3
P_TP_120_REP_1,Gm26901,5.786036699,Posterior,1
P_TP_120_REP_2,Gm26901,5.591229154,Posterior,2
P_TP_120_REP_3,Gm26901,4.873348557,Posterior,3
P_TP_30_REP_1,Rrs1,7.981807857,Posterior,1
P_TP_30_REP_2,Rrs1,8.21346803,Posterior,2
P_TP_30_REP_3,Rrs1,8.157778343,Posterior,3
P_TP_60_REP_1,Rrs1,8.215791203,Posterior,1
P_TP_60_REP_2,Rrs1,8.289573378,Posterior,2
P_TP_60_REP_3,Rrs1,7.939944849,Posterior,3
P_TP_90_REP_1,Rrs1,8.275890382,Posterior,1
P_TP_90_REP_2,Rrs1,7.955116194,Posterior,2
P_TP_90_REP_3,Rrs1,8.293813392,Posterior,3
P_TP_120_REP_1,Rrs1,8.035250128,Posterior,1
P_TP_120_REP_2,Rrs1,8.087353483,Posterior,2
P_TP_120_REP_3,Rrs1,7.938784611,Posterior,3
P_TP_30_REP_1,Mybl1,3.956657981,Posterior,1
P_TP_30_REP_2,Mybl1,5.086011702,Posterior,2
P_TP_30_REP_3,Mybl1,4.200006791,Posterior,3
P_TP_60_REP_1,Mybl1,4.353668945,Posterior,1
P_TP_60_REP_2,Mybl1,1.843344614,Posterior,2
P_TP_60_REP_3,Mybl1,5.272796719,Posterior,3
P_TP_90_REP_1,Mybl1,4.109403312,Posterior,1
P_TP_90_REP_2,Mybl1,4.045444683,Posterior,2
P_TP_90_REP_3,Mybl1,4.170030975,Posterior,3
P_TP_120_REP_1,Mybl1,5.294389565,Posterior,1
P_TP_120_REP_2,Mybl1,3.730566862,Posterior,2
P_TP_120_REP_3,Mybl1,4.40022346,Posterior,3
P_TP_30_REP_1,Vcpip1,7.970711539,Posterior,1
P_TP_30_REP_2,Vcpip1,7.461392263,Posterior,2
P_TP_30_REP_3,Vcpip1,7.646151064,Posterior,3
P_TP_60_REP_1,Vcpip1,7.128170962,Posterior,1
P_TP_60_REP_2,Vcpip1,7.446450199,Posterior,2
P_TP_60_REP_3,Vcpip1,7.411432862,Posterior,3
P_TP_90_REP_1,Vcpip1,7.203050411,Posterior,1
P_TP_90_REP_2,Vcpip1,7.025325965,Posterior,2
P_TP_90_REP_3,Vcpip1,7.896867955,Posterior,3
P_TP_120_REP_1,Vcpip1,7.141871509,Posterior,1
P_TP_120_REP_2,Vcpip1,7.589975741,Posterior,2
P_TP_120_REP_3,Vcpip1,7.453957364,Posterior,3
P_TP_30_REP_1,Sgk3,5.381079714,Posterior,1
P_TP_30_REP_2,Sgk3,5.048685068,Posterior,2
P_TP_30_REP_3,Sgk3,5.364206081,Posterior,3
P_TP_60_REP_1,Sgk3,5.249365716,Posterior,1
P_TP_60_REP_2,Sgk3,5.361780648,Posterior,2
P_TP_60_REP_3,Sgk3,4.898533739,Posterior,3
P_TP_90_REP_1,Sgk3,5.637538796,Posterior,1
P_TP_90_REP_2,Sgk3,4.953726406,Posterior,2
P_TP_90_REP_3,Sgk3,4.464775393,Posterior,3
P_TP_120_REP_1,Sgk3,5.511520626,Posterior,1
P_TP_120_REP_2,Sgk3,5.089424684,Posterior,2
P_TP_120_REP_3,Sgk3,3.313271454,Posterior,3
P_TP_30_REP_1,Mcmdc2,2.959588312,Posterior,1
P_TP_30_REP_2,Mcmdc2,3.80867572,Posterior,2
P_TP_30_REP_3,Mcmdc2,3.104911331,Posterior,3
P_TP_60_REP_1,Mcmdc2,2.712746553,Posterior,1
P_TP_60_REP_2,Mcmdc2,2.901306042,Posterior,2
P_TP_60_REP_3,Mcmdc2,3.297777885,Posterior,3
P_TP_90_REP_1,Mcmdc2,4.291562429,Posterior,1
P_TP_90_REP_2,Mcmdc2,3.04245917,Posterior,2
P_TP_90_REP_3,Mcmdc2,2.963571946,Posterior,3
P_TP_120_REP_2,Mcmdc2,0.959161079,Posterior,2
P_TP_120_REP_3,Mcmdc2,2.799111682,Posterior,3
P_TP_30_REP_1,Snhg6,6.598048084,Posterior,1
P_TP_30_REP_2,Snhg6,6.591370771,Posterior,2
P_TP_30_REP_3,Snhg6,6.695524186,Posterior,3
P_TP_60_REP_1,Snhg6,6.71020198,Posterior,1
P_TP_60_REP_2,Snhg6,6.496656231,Posterior,2
P_TP_60_REP_3,Snhg6,6.488722503,Posterior,3
P_TP_90_REP_1,Snhg6,6.813789529,Posterior,1
P_TP_90_REP_2,Snhg6,6.523622302,Posterior,2
P_TP_90_REP_3,Snhg6,6.557153431,Posterior,3
P_TP_120_REP_1,Snhg6,6.334038998,Posterior,1
P_TP_120_REP_2,Snhg6,6.487885512,Posterior,2
P_TP_120_REP_3,Snhg6,6.634331021,Posterior,3
P_TP_30_REP_1,Cops5,8.848638245,Posterior,1
P_TP_30_REP_2,Cops5,8.795401704,Posterior,2
P_TP_30_REP_3,Cops5,8.855428217,Posterior,3
P_TP_60_REP_1,Cops5,8.834680176,Posterior,1
P_TP_60_REP_2,Cops5,8.826458543,Posterior,2
P_TP_60_REP_3,Cops5,8.756459588,Posterior,3
P_TP_90_REP_1,Cops5,8.678901911,Posterior,1
P_TP_90_REP_2,Cops5,8.83947942,Posterior,2
P_TP_90_REP_3,Cops5,8.804501155,Posterior,3
P_TP_120_REP_1,Cops5,8.664432851,Posterior,1
P_TP_120_REP_2,Cops5,8.859820209,Posterior,2
P_TP_120_REP_3,Cops5,8.443676472,Posterior,3
P_TP_30_REP_1,Cspp1,8.780373756,Posterior,1
P_TP_30_REP_2,Cspp1,8.839782788,Posterior,2
P_TP_30_REP_3,Cspp1,8.685046672,Posterior,3
P_TP_60_REP_1,Cspp1,8.855017348,Posterior,1
P_TP_60_REP_2,Cspp1,9.015102042,Posterior,2
P_TP_60_REP_3,Cspp1,8.800752615,Posterior,3
P_TP_90_REP_1,Cspp1,8.9262735,Posterior,1
P_TP_90_REP_2,Cspp1,8.688549612,Posterior,2
P_TP_90_REP_3,Cspp1,8.764452796,Posterior,3
P_TP_120_REP_1,Cspp1,8.534066294,Posterior,1
P_TP_120_REP_2,Cspp1,8.747042535,Posterior,2
P_TP_120_REP_3,Cspp1,8.856905191,Posterior,3
P_TP_30_REP_1,Arfgef1,8.908012809,Posterior,1
P_TP_30_REP_2,Arfgef1,9.062115617,Posterior,2
P_TP_30_REP_3,Arfgef1,8.95193367,Posterior,3
P_TP_60_REP_1,Arfgef1,8.883581977,Posterior,1
P_TP_60_REP_2,Arfgef1,9.385451964,Posterior,2
P_TP_60_REP_3,Arfgef1,9.191080776,Posterior,3
P_TP_90_REP_1,Arfgef1,8.877228612,Posterior,1
P_TP_90_REP_2,Arfgef1,8.688549612,Posterior,2
P_TP_90_REP_3,Arfgef1,9.317886404,Posterior,3
P_TP_120_REP_1,Arfgef1,8.709062592,Posterior,1
P_TP_120_REP_2,Arfgef1,8.874406002,Posterior,2
P_TP_120_REP_3,Arfgef1,9.059846032,Posterior,3
P_TP_30_REP_1,Cpa6,2.546501065,Posterior,1
P_TP_30_REP_2,Cpa6,4.756257195,Posterior,2
P_TP_30_REP_3,Cpa6,4.242020286,Posterior,3
P_TP_60_REP_1,Cpa6,5.213812021,Posterior,1
P_TP_60_REP_2,Cpa6,4.351421457,Posterior,2
P_TP_60_REP_3,Cpa6,4.731840126,Posterior,3
P_TP_90_REP_1,Cpa6,5.339487097,Posterior,1
P_TP_90_REP_2,Cpa6,4.438472032,Posterior,2
P_TP_90_REP_3,Cpa6,3.868000986,Posterior,3
P_TP_120_REP_1,Cpa6,3.78113974,Posterior,1
P_TP_120_REP_2,Cpa6,4.380435763,Posterior,2
P_TP_120_REP_3,Cpa6,5.44181005,Posterior,3
P_TP_30_REP_1,Prex2,7.113921856,Posterior,1
P_TP_30_REP_2,Prex2,6.642376013,Posterior,2
P_TP_30_REP_3,Prex2,7.000967185,Posterior,3
P_TP_60_REP_1,Prex2,6.631547218,Posterior,1
P_TP_60_REP_2,Prex2,6.998106066,Posterior,2
P_TP_60_REP_3,Prex2,6.630869332,Posterior,3
P_TP_90_REP_1,Prex2,7.203050411,Posterior,1
P_TP_90_REP_2,Prex2,6.789445898,Posterior,2
P_TP_90_REP_3,Prex2,6.60832891,Posterior,3
P_TP_120_REP_1,Prex2,7.325069706,Posterior,1
P_TP_120_REP_2,Prex2,6.166181717,Posterior,2
P_TP_120_REP_3,Prex2,6.918235548,Posterior,3
P_TP_30_REP_1,A830018L16Rik,2.285024966,Posterior,1
P_TP_30_REP_2,A830018L16Rik,4.328080581,Posterior,2
P_TP_30_REP_3,A830018L16Rik,3.632866054,Posterior,3
P_TP_60_REP_1,A830018L16Rik,2.23382367,Posterior,1
P_TP_60_REP_2,A830018L16Rik,2.901306042,Posterior,2
P_TP_60_REP_3,A830018L16Rik,3.297777885,Posterior,3
P_TP_90_REP_1,A830018L16Rik,2.497193464,Posterior,1
P_TP_90_REP_2,A830018L16Rik,4.505689461,Posterior,2
P_TP_90_REP_3,A830018L16Rik,3.08416324,Posterior,3
P_TP_120_REP_1,A830018L16Rik,3.78113974,Posterior,1
P_TP_120_REP_2,A830018L16Rik,3.384297191,Posterior,2
P_TP_120_REP_3,A830018L16Rik,2.240336771,Posterior,3
P_TP_30_REP_1,Sulf1,8.19228214,Posterior,1
P_TP_30_REP_2,Sulf1,8.801024579,Posterior,2
P_TP_30_REP_3,Sulf1,8.644504833,Posterior,3
P_TP_60_REP_1,Sulf1,8.718978617,Posterior,1
P_TP_60_REP_2,Sulf1,8.409737438,Posterior,2
P_TP_60_REP_3,Sulf1,8.778012263,Posterior,3
P_TP_90_REP_1,Sulf1,8.339348087,Posterior,1
P_TP_90_REP_2,Sulf1,8.651927953,Posterior,2
P_TP_90_REP_3,Sulf1,8.797903156,Posterior,3
P_TP_120_REP_1,Sulf1,8.969689327,Posterior,1
P_TP_120_REP_2,Sulf1,8.790758317,Posterior,2
P_TP_120_REP_3,Sulf1,8.434385559,Posterior,3
P_TP_30_REP_1,Slco5a1,5.240329262,Posterior,1
P_TP_30_REP_2,Slco5a1,6.101538295,Posterior,2
P_TP_30_REP_3,Slco5a1,4.606050165,Posterior,3
P_TP_60_REP_1,Slco5a1,4.537466318,Posterior,1
P_TP_60_REP_2,Slco5a1,5.218693446,Posterior,2
P_TP_60_REP_3,Slco5a1,5.767361568,Posterior,3
