sample,Gene,value,group,replicate
A_TP_120_REP_3,Oprk1,1.705839885,Anterior,3
A_TP_30_REP_1,Rb1cc1,8.15118657,Anterior,1
A_TP_30_REP_2,Rb1cc1,8.067482895,Anterior,2
A_TP_30_REP_3,Rb1cc1,7.744457253,Anterior,3
A_TP_60_REP_1,Rb1cc1,7.850981229,Anterior,1
A_TP_60_REP_2,Rb1cc1,8.209137706,Anterior,2
A_TP_60_REP_3,Rb1cc1,7.720857495,Anterior,3
A_TP_90_REP_1,Rb1cc1,8.015715523,Anterior,1
A_TP_90_REP_2,Rb1cc1,7.8047125,Anterior,2
A_TP_90_REP_3,Rb1cc1,7.862495036,Anterior,3
A_TP_120_REP_1,Rb1cc1,7.693739388,Anterior,1
A_TP_120_REP_2,Rb1cc1,8.155092589,Anterior,2
A_TP_120_REP_3,Rb1cc1,7.977868661,Anterior,3
A_TP_30_REP_1,4732440D04Rik,4.852954298,Anterior,1
A_TP_30_REP_2,4732440D04Rik,3.752643767,Anterior,2
A_TP_30_REP_3,4732440D04Rik,2.735413958,Anterior,3
A_TP_60_REP_1,4732440D04Rik,4.975705328,Anterior,1
A_TP_60_REP_2,4732440D04Rik,1.446133133,Anterior,2
A_TP_60_REP_3,4732440D04Rik,3.360769767,Anterior,3
A_TP_90_REP_1,4732440D04Rik,2.73413388,Anterior,1
A_TP_90_REP_2,4732440D04Rik,3.765475299,Anterior,2
A_TP_90_REP_3,4732440D04Rik,3.180537388,Anterior,3
A_TP_120_REP_1,4732440D04Rik,2.683023979,Anterior,1
A_TP_120_REP_2,4732440D04Rik,3.632691292,Anterior,2
A_TP_120_REP_3,4732440D04Rik,2.7345405,Anterior,3
A_TP_30_REP_1,Pcmtd1,8.140254191,Anterior,1
A_TP_30_REP_2,Pcmtd1,8.360075791,Anterior,2
A_TP_30_REP_3,Pcmtd1,8.273528823,Anterior,3
A_TP_60_REP_1,Pcmtd1,8.209271925,Anterior,1
A_TP_60_REP_2,Pcmtd1,8.274883073,Anterior,2
A_TP_60_REP_3,Pcmtd1,8.036876276,Anterior,3
A_TP_90_REP_1,Pcmtd1,8.226459273,Anterior,1
A_TP_90_REP_2,Pcmtd1,8.549913149,Anterior,2
A_TP_90_REP_3,Pcmtd1,7.97609545,Anterior,3
A_TP_120_REP_1,Pcmtd1,8.189730586,Anterior,1
A_TP_120_REP_2,Pcmtd1,8.186235066,Anterior,2
A_TP_120_REP_3,Pcmtd1,8.415569732,Anterior,3
