sample,Gene,value,group,replicate
A_TP_30_REP_3,Tram1,9.59529816,Anterior,3
A_TP_60_REP_1,Tram1,9.543076975,Anterior,1
A_TP_60_REP_2,Tram1,9.027573711,Anterior,2
A_TP_60_REP_3,Tram1,9.236194343,Anterior,3
A_TP_90_REP_1,Tram1,9.381528669,Anterior,1
A_TP_90_REP_2,Tram1,9.272332447,Anterior,2
A_TP_90_REP_3,Tram1,9.274222546,Anterior,3
A_TP_120_REP_1,Tram1,9.552753894,Anterior,1
A_TP_120_REP_2,Tram1,9.509298722,Anterior,2
A_TP_120_REP_3,Tram1,9.35484949,Anterior,3
A_TP_30_REP_1,Lactb2,7.019760045,Anterior,1
A_TP_30_REP_2,Lactb2,7.122146157,Anterior,2
A_TP_30_REP_3,Lactb2,6.603055199,Anterior,3
A_TP_60_REP_1,Lactb2,6.634025797,Anterior,1
A_TP_60_REP_2,Lactb2,6.658732973,Anterior,2
A_TP_60_REP_3,Lactb2,7.137049056,Anterior,3
A_TP_90_REP_1,Lactb2,7.209389508,Anterior,1
A_TP_90_REP_2,Lactb2,6.964566015,Anterior,2
A_TP_90_REP_3,Lactb2,6.716037543,Anterior,3
A_TP_120_REP_1,Lactb2,7.054582349,Anterior,1
A_TP_120_REP_2,Lactb2,7.180908705,Anterior,2
A_TP_120_REP_3,Lactb2,6.635249039,Anterior,3
A_TP_30_REP_1,Eya1,6.730072954,Anterior,1
A_TP_30_REP_2,Eya1,7.111336294,Anterior,2
A_TP_30_REP_3,Eya1,6.43797684,Anterior,3
A_TP_60_REP_1,Eya1,6.134222752,Anterior,1
A_TP_60_REP_2,Eya1,7.424182942,Anterior,2
A_TP_60_REP_3,Eya1,6.852827707,Anterior,3
A_TP_90_REP_1,Eya1,6.550268807,Anterior,1
A_TP_90_REP_2,Eya1,7.632204374,Anterior,2
A_TP_90_REP_3,Eya1,6.643817403,Anterior,3
A_TP_120_REP_1,Eya1,5.922246961,Anterior,1
A_TP_120_REP_2,Eya1,7.017366191,Anterior,2
A_TP_120_REP_3,Eya1,6.84850388,Anterior,3
A_TP_30_REP_1,Msc,4.095557673,Anterior,1
A_TP_30_REP_2,Msc,4.861846034,Anterior,2
A_TP_30_REP_3,Msc,4.950211876,Anterior,3
A_TP_60_REP_1,Msc,4.975705328,Anterior,1
A_TP_60_REP_2,Msc,5.002064057,Anterior,2
A_TP_60_REP_3,Msc,4.472173863,Anterior,3
A_TP_90_REP_1,Msc,4.490804868,Anterior,1
A_TP_90_REP_2,Msc,4.153744776,Anterior,2
A_TP_90_REP_3,Msc,4.476776278,Anterior,3
A_TP_120_REP_1,Msc,4.50385902,Anterior,1
A_TP_120_REP_2,Msc,4.441874195,Anterior,2
A_TP_120_REP_3,Msc,4.338324371,Anterior,3
A_TP_30_REP_1,Kcnb2,6.773170872,Anterior,1
A_TP_30_REP_2,Kcnb2,6.797419634,Anterior,2
A_TP_30_REP_3,Kcnb2,6.36909139,Anterior,3
A_TP_60_REP_1,Kcnb2,6.269857841,Anterior,1
A_TP_60_REP_2,Kcnb2,6.296724218,Anterior,2
A_TP_60_REP_3,Kcnb2,6.342416733,Anterior,3
A_TP_90_REP_1,Kcnb2,6.88989645,Anterior,1
A_TP_90_REP_2,Kcnb2,6.811150524,Anterior,2
A_TP_90_REP_3,Kcnb2,6.3899869,Anterior,3
A_TP_120_REP_1,Kcnb2,5.739111536,Anterior,1
A_TP_120_REP_2,Kcnb2,5.958029747,Anterior,2
A_TP_120_REP_3,Kcnb2,6.805385425,Anterior,3
A_TP_30_REP_1,Terf1,8.386796079,Anterior,1
A_TP_30_REP_2,Terf1,8.308954154,Anterior,2
A_TP_30_REP_3,Terf1,8.541118997,Anterior,3
A_TP_60_REP_1,Terf1,7.991061034,Anterior,1
A_TP_60_REP_2,Terf1,8.603895899,Anterior,2
A_TP_60_REP_3,Terf1,8.57686491,Anterior,3
A_TP_90_REP_1,Terf1,8.095414116,Anterior,1
A_TP_90_REP_2,Terf1,8.194200437,Anterior,2
A_TP_90_REP_3,Terf1,8.801292044,Anterior,3
A_TP_120_REP_1,Terf1,8.435466244,Anterior,1
A_TP_120_REP_2,Terf1,8.21168326,Anterior,2
A_TP_120_REP_3,Terf1,8.439268859,Anterior,3
A_TP_30_REP_1,Rpl7,13.61727692,Anterior,1
A_TP_30_REP_2,Rpl7,13.83176798,Anterior,2
A_TP_30_REP_3,Rpl7,13.76157215,Anterior,3
A_TP_60_REP_1,Rpl7,13.75402965,Anterior,1
A_TP_60_REP_2,Rpl7,13.76235369,Anterior,2
A_TP_60_REP_3,Rpl7,13.59026859,Anterior,3
A_TP_90_REP_1,Rpl7,13.79721765,Anterior,1
A_TP_90_REP_2,Rpl7,14.22173439,Anterior,2
A_TP_90_REP_3,Rpl7,13.65327616,Anterior,3
A_TP_120_REP_1,Rpl7,14.01634256,Anterior,1
A_TP_120_REP_2,Rpl7,13.5879905,Anterior,2
A_TP_120_REP_3,Rpl7,13.84404088,Anterior,3
A_TP_30_REP_1,Rdh10,7.320217925,Anterior,1
A_TP_30_REP_2,Rdh10,6.377705991,Anterior,2
A_TP_30_REP_3,Rdh10,6.952939334,Anterior,3
A_TP_60_REP_1,Rdh10,6.593224104,Anterior,1
A_TP_60_REP_2,Rdh10,7.56223981,Anterior,2
A_TP_60_REP_3,Rdh10,6.487916788,Anterior,3
A_TP_90_REP_1,Rdh10,6.324636354,Anterior,1
A_TP_90_REP_2,Rdh10,7.34600667,Anterior,2
A_TP_90_REP_3,Rdh10,6.859599472,Anterior,3
A_TP_120_REP_1,Rdh10,6.513597557,Anterior,1
A_TP_120_REP_2,Rdh10,5.80593203,Anterior,2
A_TP_120_REP_3,Rdh10,6.442332135,Anterior,3
A_TP_30_REP_1,Stau2,6.787255411,Anterior,1
