ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Cnot10,8645,0.90212004,1.0,130.05296,80.72443067,0.038226974,7.597109785,0.52530634,3.807645816,7.624863189,7.539811697,7.519387963,7.522179385,7.713221942,7.650128573,7.62176851,7.666249593,7.561600022,7.868433414,7.586384887,7.318597183,ENSMUSG00000056167
Dync1li1,8646,1.0,1.0,130.1846,12.43171364,0.110470199,7.605271711,0.21391469,1.430217921,8.062761878,7.593118623,7.704654243,7.573664196,7.077229539,7.532985714,7.553413022,8.025080982,7.404223082,7.740179976,7.465800309,7.437178656,ENSMUSG00000032435
Cmtm6,8647,1.0,1.0,128.00632,30.55925718,0.180059794,5.545631111,0.17810994,3.000970369,6.299683292,5.692883296,4.795041431,5.472819362,6.358373053,5.258267175,4.426773285,5.932918353,5.366940587,5.076382663,5.87750486,5.895529841,ENSMUSG00000032434
Cmtm7,8648,1.0,1.0,130.60281,14.55025837,0.094865644,6.304638688,0.21269031,0.986488306,6.498926403,6.35896692,6.508076096,5.972142637,6.183787013,6.269916239,6.375566338,6.197391509,6.473409732,6.05484299,6.312854187,6.404145892,ENSMUSG00000032436
Cmtm8,8650,0.8836,1.0,130.88602,43.74542878,0.110312649,7.153593166,0.386302,3.563376629,7.394190735,7.44809612,6.947859986,7.68904518,7.077229539,6.732508618,7.406144432,7.316735168,6.776113529,7.290151583,6.68109097,7.134281464,ENSMUSG00000041012
Gpd1l,8651,1.0,1.0,128.57263,12.27778194,0.179675405,5.458252182,0.09966526,0.579937322,5.317881929,5.469218932,5.164775938,5.952828613,5.37585059,5.601012701,4.936499419,5.135179615,4.920559551,5.612957796,5.633434757,6.183039008,ENSMUSG00000050627
Osbpl10,8652,0.029629631,0.455829693,132.96924,107.9298289,0.656716491,2.015980771,0.6711647,0.290333038,,1.487561658,1.390635514,1.41663619,,1.887901597,2.474368535,2.349705361,,2.775346848,2.2787826,2.693773526,ENSMUSG00000040875
Rps27rt,8653,0.31102929,0.860845734,131.45451,98.33168743,0.22232874,11.97046611,0.56634474,1.483074629,12.19982581,10.35846073,12.16665968,12.11434421,11.72015393,12.21759479,12.14412901,12.14043046,12.07049016,11.9573038,11.97326437,12.49209024,ENSMUSG00000050621
Stt3b,8654,0.26061025,0.80543478,127.13385,101.1699034,0.123564083,10.26481249,0.6580747,1.404593217,10.18215349,9.870812725,10.48091086,10.34703595,10.08865022,10.10862144,10.39380421,10.32424616,10.51455525,10.229639,10.23937906,10.44013714,ENSMUSG00000032437
Gadl1,8656,0.816642729,1.0,130.63004,101.8730377,0.285606403,3.208672097,0.28742355,1.149440765,2.289479608,2.448188095,3.310438781,3.348080579,,3.269495343,3.874966092,2.69218953,3.25423575,4.300746014,3.19958617,3.202425959,ENSMUSG00000056880
Tgfbr2,8657,0.43480836,0.969938425,127.860085,91.57304015,0.31432078,5.5797029,0.71702725,1.71927777,5.245783707,5.304650901,5.289673147,5.068569981,5.9123246,5.738733423,6.489706358,6.397627782,4.977546527,4.80185539,6.065598057,5.921802432,ENSMUSG00000032440
Rbms3,8659,0.48316401,1.0,127.296555,54.70166492,0.095031801,8.176781586,0.6020245,1.819556115,8.240227477,8.465343148,7.833344355,8.066841187,8.477185608,8.384995723,8.051589171,8.196071098,8.15640803,8.019096653,8.128447698,8.176277122,ENSMUSG00000039607
Gm17396,8660,1.0,1.0,129.46123,28.846152,0.267684462,4.820009613,0.12411294,1.720828144,5.937258673,4.218545506,4.296628289,5.237705689,5.480281929,4.598621354,2.970091609,4.22916793,5.489555237,4.80185539,5.076721762,5.192005836,ENSMUSG00000079669
Azi2,8661,0.30747025,0.857801718,128.91449,8.206951312,0.267168779,7.427151525,0.7144385,1.478457328,7.178769432,7.749284772,7.653273445,7.370320333,7.009037844,7.358768126,6.756157835,7.20098212,7.686494372,7.972842985,7.31251997,7.624790032,ENSMUSG00000039285
Cmc1,8662,0.510001941,1.0,126.289085,100.497661,0.170542024,6.918458888,0.32662132,1.134802289,7.0785619,6.651718038,6.889847808,6.636737355,6.412169437,7.144150346,7.366852314,6.904710973,7.285120807,6.808407113,6.968655558,6.916402207,ENSMUSG00000039163
Gm17399,8663,1.0,1.0,131.30995,25.07835348,0.093459627,4.418831527,0.15519252,13.2440592,5.842666174,3.111213394,4.567252244,4.075654259,4.860695682,4.234683009,,4.597976527,4.359220752,3.00282621,4.878408357,5.335720923,ENSMUSG00000097402
Golga4,8665,0.90117049,1.0,127.220375,99.21398261,0.05718918,8.362632333,0.64094466,3.793733043,8.585137342,8.352766186,8.029682654,8.628868036,7.913026177,8.439887999,8.575650937,8.216087332,8.519910846,8.369541942,8.361766757,8.388960719,ENSMUSG00000038708
Itga9,8666,0.37393225,0.915055817,127.497536,95.37175629,0.217532747,6.334036024,0.6403344,1.599676527,5.937258673,6.21593566,6.401391354,5.913407118,6.464031722,6.309758141,5.85712257,7.03060878,6.99892003,6.266847956,6.531400483,6.215260588,ENSMUSG00000039115
Gm2415,8667,0.6724,1.0,131.08804,27.12230307,0.104158354,4.732472621,0.63544816,2.324099055,4.484678589,5.499994111,5.06345249,4.275443399,4.69696419,4.965821726,4.936499419,4.51423217,4.521314089,4.300746014,5.438941927,4.292643298,ENSMUSG00000086119
Ctdspl,8668,0.959867533,1.0,128.71065,118.8126276,0.109962967,7.45426563,0.2636193,1.204652356,7.343275366,7.644525867,7.647449851,7.240944875,6.86214958,7.49028051,7.975264453,7.389046392,7.424859967,7.52808014,7.434010788,7.357613971,ENSMUSG00000047409
Vill,8669,0.51825601,1.0,131.27097,121.1760537,0.178387487,4.610892819,0.76663387,1.896407531,4.484678589,3.779800852,5.289673147,5.30017265,3.751540847,4.353813748,4.083242293,4.51423217,4.977546527,5.125533522,4.924893594,5.008056543,ENSMUSG00000038775
Plcd1,8670,0.56310016,1.0,127.404625,95.30225641,0.319757069,6.115991388,0.68275464,2.001260366,6.559662147,5.876091662,5.028032455,5.526063471,5.985126958,6.60220689,7.198019448,6.35011344,6.140641111,5.348925012,6.900504582,6.204599823,ENSMUSG00000010660
Oxsr1,8672,0.21150801,0.75812521,128.38098,16.34597424,0.193382892,7.552625358,0.74182075,1.316487386,7.734299486,7.871347065,7.512996798,7.12493535,7.796492503,7.410073304,7.499933388,7.412366536,7.2508562,7.404089851,7.72419189,7.728895663,ENSMUSG00000036737
Myd88,8673,0.64256256,1.0,131.54999,64.90417554,0.24831039,4.430192115,0.5205543,2.223795222,4.715738709,3.977421874,4.615778349,4.557037188,4.512243325,4.428097896,5.392838058,4.425325493,3.967426347,4.383896436,3.650540418,4.516023985,ENSMUSG00000032508
Acaa1a,8674,0.33860761,0.884138959,128.58505,69.58081882,0.437052615,4.975002485,0.6517141,1.52972264,4.604829499,4.467222423,5.48518275,5.032226188,5.480281929,5.237759784,5.676087948,4.82347812,5.366940587,3.526510919,5.17615247,5.102960988,ENSMUSG00000036138
Xylb,8675,0.27888961,0.828421955,129.87172,24.80367132,0.488143655,4.6921667,0.7329546,1.43254129,5.792937661,4.133867299,5.536499409,4.211872317,4.860695682,4.353813748,3.338350232,4.120086939,5.185341413,4.607958984,4.440166257,4.932542614,ENSMUSG00000035769
Acvr2b,8676,0.42107121,0.957208848,130.57146,87.28058973,0.345165688,8.727020215,0.46212906,1.69226081,9.23783995,6.933055443,8.922285715,8.990289748,9.085842402,8.692467278,8.715159195,9.085329896,8.745848193,8.638637218,8.769352472,8.897521943,ENSMUSG00000061393
Exog,8677,1.0,1.0,130.58397,97.68049562,0.056993219,7.353406673,0.117795184,0.728505404,6.854488461,6.82512042,7.563350488,7.522179385,7.530707683,7.459616448,7.198019448,7.279173364,7.340479824,7.453047513,7.446014095,7.64464423,ENSMUSG00000042787
Wdr48,8679,0.52243984,1.0,131.19177,93.95918586,0.071455182,8.072820587,0.49116534,1.906324724,8.455293362,7.277998242,7.883752287,8.102333862,8.088494955,8.13627443,7.852626992,8.209446063,8.30852248,8.095093785,8.25664998,7.993275969,ENSMUSG00000032512
Cx3cr1,8680,1.0,1.0,130.67857,95.67144835,0.128930531,5.09615047,0.15975845,1.566722915,4.049211615,4.51488028,5.431973222,4.835357424,5.480281929,5.535313222,4.704031977,5.525731127,4.920559551,5.076382663,5.865638229,5.008056543,ENSMUSG00000052336
Gorasp1,8681,1.0,1.0,128.73427,81.95478051,0.21982368,5.234249562,0.22423539,1.657618531,5.632558093,5.127649882,4.991720877,4.792541641,5.9123246,4.692029894,5.392838058,6.30098079,5.278996464,4.462514483,5.406548287,5.056289009,ENSMUSG00000032513
Csrnp1,8682,1.0,1.0,130.87138,66.65224838,0.348788126,4.322841724,0.25011408,1.907579987,3.13382566,5.37274682,4.662725218,4.50494468,4.300349267,4.192681642,4.704031977,4.22916793,5.085181891,3.199274757,4.854591721,3.642363508,ENSMUSG00000032515
Slc25a38,8684,0.06744409,0.54295212,131.24774,89.8215255,0.341434035,6.025854078,0.6235617,1.007908913,6.226646278,5.096663233,5.702966609,5.93325251,6.609290752,6.004559533,6.335420712,6.223994444,6.237146938,6.222354722,5.980128431,6.070119312,ENSMUSG00000032519
Rpsa,8685,0.367635049,0.910931895,130.758,89.4863598,0.342598842,15.13263483,0.34855485,1.178004467,15.2969818,13.80170528,15.14529691,15.24979844,15.55344138,15.18030116,15.18193365,15.15621184,15.30508794,15.36448787,15.00430081,15.30343237,ENSMUSG00000032518
