sample,Gene,value,group,replicate
P_TP_30_REP_4,2410002F23Rik,23.25713869,Posterior,4
P_TP_60_REP_1,2410002F23Rik,23.3006341,Posterior,1
P_TP_60_REP_2,2410002F23Rik,23.49560616,Posterior,2
P_TP_60_REP_3,2410002F23Rik,23.48689628,Posterior,3
P_TP_60_REP_4,2410002F23Rik,23.58122202,Posterior,4
P_TP_90_REP_1,2410002F23Rik,23.18702389,Posterior,1
P_TP_90_REP_2,2410002F23Rik,23.43216742,Posterior,2
P_TP_90_REP_3,2410002F23Rik,23.41726166,Posterior,3
P_TP_90_REP_4,2410002F23Rik,23.07313045,Posterior,4
P_TP_120_REP_1,2410002F23Rik,23.20656409,Posterior,1
P_TP_120_REP_2,2410002F23Rik,23.14110772,Posterior,2
P_TP_120_REP_3,2410002F23Rik,23.32609327,Posterior,3
P_TP_120_REP_4,2410002F23Rik,23.22218972,Posterior,4
P_TP_30_REP_1,2610008E11Rik,17.96426334,Posterior,1
P_TP_30_REP_2,2610008E11Rik,16.83164653,Posterior,2
P_TP_30_REP_3,2610008E11Rik,17.42713506,Posterior,3
P_TP_30_REP_4,2610008E11Rik,16.52008152,Posterior,4
P_TP_60_REP_1,2610008E11Rik,17.33408885,Posterior,1
P_TP_60_REP_2,2610008E11Rik,16.70683843,Posterior,2
P_TP_60_REP_3,2610008E11Rik,17.54760313,Posterior,3
P_TP_60_REP_4,2610008E11Rik,15.41284634,Posterior,4
P_TP_90_REP_1,2610008E11Rik,16.45868715,Posterior,1
P_TP_90_REP_3,2610008E11Rik,17.85179609,Posterior,3
P_TP_90_REP_4,2610008E11Rik,19.21944436,Posterior,4
P_TP_120_REP_1,2610008E11Rik,19.54759419,Posterior,1
P_TP_120_REP_2,2610008E11Rik,18.04982485,Posterior,2
P_TP_120_REP_3,2610008E11Rik,16.98284354,Posterior,3
P_TP_120_REP_4,2610008E11Rik,17.56977876,Posterior,4
P_TP_30_REP_1,2700097O09Rik,22.17512214,Posterior,1
P_TP_30_REP_2,2700097O09Rik,22.33212493,Posterior,2
P_TP_30_REP_3,2700097O09Rik,22.20026349,Posterior,3
P_TP_30_REP_4,2700097O09Rik,21.9633874,Posterior,4
P_TP_60_REP_1,2700097O09Rik,22.30036695,Posterior,1
P_TP_60_REP_2,2700097O09Rik,22.11443422,Posterior,2
P_TP_60_REP_3,2700097O09Rik,22.23185834,Posterior,3
P_TP_60_REP_4,2700097O09Rik,22.00918802,Posterior,4
P_TP_90_REP_1,2700097O09Rik,22.29481795,Posterior,1
P_TP_90_REP_2,2700097O09Rik,22.1456272,Posterior,2
P_TP_90_REP_3,2700097O09Rik,22.46160174,Posterior,3
P_TP_90_REP_4,2700097O09Rik,22.34636533,Posterior,4
P_TP_120_REP_1,2700097O09Rik,22.27695072,Posterior,1
P_TP_120_REP_2,2700097O09Rik,22.17479048,Posterior,2
P_TP_120_REP_3,2700097O09Rik,22.54830394,Posterior,3
P_TP_120_REP_4,2700097O09Rik,22.00513166,Posterior,4
P_TP_30_REP_1,2900026A02Rik,19.02788667,Posterior,1
P_TP_30_REP_2,2900026A02Rik,19.20144175,Posterior,2
P_TP_30_REP_3,2900026A02Rik,18.68870197,Posterior,3
P_TP_30_REP_4,2900026A02Rik,19.53958462,Posterior,4
P_TP_60_REP_1,2900026A02Rik,19.73152659,Posterior,1
P_TP_60_REP_2,2900026A02Rik,19.07996318,Posterior,2
P_TP_60_REP_3,2900026A02Rik,19.20472183,Posterior,3
P_TP_60_REP_4,2900026A02Rik,18.40174946,Posterior,4
P_TP_90_REP_1,2900026A02Rik,19.92775185,Posterior,1
P_TP_90_REP_2,2900026A02Rik,19.58983452,Posterior,2
P_TP_90_REP_3,2900026A02Rik,19.16612787,Posterior,3
P_TP_90_REP_4,2900026A02Rik,19.61697121,Posterior,4
P_TP_120_REP_1,2900026A02Rik,19.19007872,Posterior,1
P_TP_120_REP_2,2900026A02Rik,19.00929045,Posterior,2
P_TP_120_REP_3,2900026A02Rik,19.39509611,Posterior,3
P_TP_120_REP_4,2900026A02Rik,19.43381877,Posterior,4
P_TP_30_REP_1,4930522L14Rik,19.99590529,Posterior,1
P_TP_30_REP_2,4930522L14Rik,20.08489151,Posterior,2
P_TP_30_REP_3,4930522L14Rik,20.10007489,Posterior,3
P_TP_30_REP_4,4930522L14Rik,20.09838122,Posterior,4
P_TP_60_REP_1,4930522L14Rik,20.15233791,Posterior,1
P_TP_60_REP_2,4930522L14Rik,20.22148238,Posterior,2
P_TP_60_REP_3,4930522L14Rik,20.44866144,Posterior,3
P_TP_60_REP_4,4930522L14Rik,20.38964401,Posterior,4
P_TP_90_REP_1,4930522L14Rik,19.72887017,Posterior,1
P_TP_90_REP_2,4930522L14Rik,20.55367653,Posterior,2
P_TP_90_REP_3,4930522L14Rik,19.89695112,Posterior,3
P_TP_90_REP_4,4930522L14Rik,20.02721572,Posterior,4
P_TP_120_REP_1,4930522L14Rik,20.31986633,Posterior,1
P_TP_120_REP_2,4930522L14Rik,20.06058393,Posterior,2
P_TP_120_REP_3,4930522L14Rik,20.07273726,Posterior,3
P_TP_120_REP_4,4930522L14Rik,19.98719245,Posterior,4
P_TP_30_REP_1,4933427D14Rik,18.82678041,Posterior,1
P_TP_30_REP_2,4933427D14Rik,18.37005486,Posterior,2
P_TP_30_REP_3,4933427D14Rik,18.65181122,Posterior,3
P_TP_30_REP_4,4933427D14Rik,19.04999,Posterior,4
P_TP_60_REP_1,4933427D14Rik,18.62105468,Posterior,1
P_TP_60_REP_2,4933427D14Rik,18.46926592,Posterior,2
P_TP_60_REP_3,4933427D14Rik,18.54835804,Posterior,3
P_TP_60_REP_4,4933427D14Rik,18.35555798,Posterior,4
P_TP_90_REP_1,4933427D14Rik,18.26720833,Posterior,1
P_TP_90_REP_2,4933427D14Rik,18.13463839,Posterior,2
P_TP_90_REP_3,4933427D14Rik,18.4341399,Posterior,3
P_TP_90_REP_4,4933427D14Rik,18.62738515,Posterior,4
P_TP_120_REP_1,4933427D14Rik,18.80048349,Posterior,1
P_TP_120_REP_2,4933427D14Rik,18.306621,Posterior,2
P_TP_120_REP_3,4933427D14Rik,18.73561401,Posterior,3
P_TP_120_REP_4,4933427D14Rik,18.9722486,Posterior,4
P_TP_30_REP_1,4933427D14Rik.1,19.17429394,Posterior,1
P_TP_30_REP_2,4933427D14Rik.1,19.11099724,Posterior,2
P_TP_30_REP_3,4933427D14Rik.1,18.91193596,Posterior,3
