ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Vegfb,14617,1.0,1.0,128.58415,20.46480343,0.047357929,8.083408365,0.11280104,1.715258467,8.036044254,8.175011285,8.001452581,8.224749845,8.028652988,8.11950419,7.7146832,7.912405781,8.2906837,8.23158474,8.077301889,8.127403702,ENSMUSG00000024962
Dnajc4,14618,1.0,1.0,128.58102,116.6465418,0.115234633,5.394893584,0.25990373,2.613769264,4.99954021,5.553933079,5.831357761,5.213812021,5.532852093,4.756865479,5.94007712,5.719915337,4.98196131,5.038688978,5.940811782,5.170553674,ENSMUSG00000024963
Nudt22,14619,0.54523456,1.0,128.21219,79.58185404,0.258480972,4.373693594,0.617688,1.963580994,4.126257022,4.197742014,4.361183564,4.648156816,4.602628337,4.186108009,5.496196247,4.631400983,3.799191453,4.727692179,4.169542045,3.772439937,ENSMUSG00000037349
Trpt1,14620,0.28998225,0.909864592,128.8996,63.59652496,0.388626726,4.915304665,0.6777939,1.444632685,4.862179049,4.846026333,4.699478703,5.101570683,5.685771685,5.145925739,5.066994272,5.256589785,4.709398554,3.400664669,5.128889117,5.391486207,ENSMUSG00000047656
Fermt3,14621,0.23242041,0.860304065,128.52522,75.68507071,0.630984361,4.230124963,0.7664329,1.34784389,3.128862643,5.192524921,3.276441591,4.286803562,4.943298344,4.80565038,4.291562429,5.046935126,4.817731486,2.88243799,4.620848878,4.057043721,ENSMUSG00000024965
Stip1,14622,0.75968656,1.0,127.49706,52.75864816,0.063660383,11.02689944,0.5849642,2.643813528,10.80080456,11.26010557,11.0234933,10.94026564,11.24764079,11.18865378,10.77136031,10.93866322,11.26288825,10.98124098,11.07451663,10.89464162,ENSMUSG00000024966
Macrod1,14623,0.35724529,0.972527697,130.87953,54.15832356,0.311147461,4.454430635,0.7984044,1.561472996,4.99954021,4.05444804,4.758563839,3.983236267,4.748681106,5.452039966,5.25424948,4.13308295,4.056688993,4.081925821,4.243318848,3.514779474,ENSMUSG00000036278
AC109619.1,14624,0.048446399,0.523881436,127.32967,2.026514698,1.152695523,3.055873467,0.58914334,0.903769757,3.657774458,2.989170305,3.810900122,0.945568387,,2.612215465,2.497193464,2.625427891,3.29875912,5.511520626,2.736620938,3.078976438,ENSMUSG00000117901
Flrt1,14625,0.03783025,0.51987607,128.74217,61.46985929,0.89655488,3.661457594,0.6863366,0.906226811,3.280344989,3.895336022,3.193224237,4.417572068,4.748681106,4.571823182,4.291562429,3.04245917,4.056688993,2.88243799,1.530249604,4.40022346,ENSMUSG00000047787
Otub1,14626,0.19228225,0.820918627,131.75484,98.55633788,0.172337755,7.502550201,0.66599596,1.279836624,7.073001054,7.439928803,7.112749916,7.282006364,7.70989012,7.575149364,7.632624977,8.092637758,7.181611586,7.586603794,7.830375562,7.435448543,ENSMUSG00000024767
Cox8a,14627,1.0,1.0,130.26874,12.43974813,0.101643351,11.19020461,0.24414144,1.095254901,11.35301702,11.23124197,11.43439939,11.27382922,10.98840592,10.79794755,11.14879611,11.13055111,11.36870593,10.99031009,11.22322773,11.25056671,ENSMUSG00000035885
Naa40,14628,1.0,1.0,129.77676,103.2730674,0.024654638,8.434883526,0.18143916,2.357612802,8.500741885,8.566964999,8.33079685,8.558170767,8.301458597,8.248618201,8.628985465,8.319732939,8.569056056,8.320564063,8.288077422,8.593101993,ENSMUSG00000024764
Rcor2,14629,1.0,1.0,129.28575,26.74940632,0.029191952,8.369227672,0.18872793,3.021759568,8.597695442,8.126572387,8.392720379,8.298732571,8.545856411,8.336320925,8.054273521,8.198003463,8.500276577,8.069884599,8.593297913,8.518858551,ENSMUSG00000024968
Mark2,14630,1.0,1.0,129.97806,113.7765772,0.011898991,11.28756188,0.10500162,3.3333733,11.08624236,11.48110108,11.12906785,11.52339592,11.09126027,11.36176357,11.30795035,11.04558021,11.36461894,11.65847642,11.14116968,11.26766959,ENSMUSG00000024969
Spindoc,14631,1.0,1.0,127.51998,71.03402383,0.09951052,6.742882989,0.18277198,1.507847269,6.872973536,6.441029106,6.492954069,6.618010851,7.041272442,7.171964747,6.783688703,6.507314407,6.787752606,6.495620428,6.848568651,6.953351684,ENSMUSG00000024970
2700081O15Rik,14634,1.0,1.0,130.57323,58.1878486,0.003874731,8.847390186,0.25928727,1.910087203,8.754727027,8.992563434,8.858807523,8.831751321,8.715352432,8.945192549,8.719218934,8.896943669,9.023921779,8.951230113,8.553971264,8.653070493,ENSMUSG00000053080
Rtn3,14635,0.181120014,0.807227349,131.03828,110.5335706,0.070676446,10.16566951,0.43898654,1.027658144,10.00769181,10.28095441,9.946511436,10.13939547,10.19028493,10.1101565,10.26151572,10.08729775,10.16094156,10.25457016,10.24137943,10.29673247,ENSMUSG00000024758
Atl3,14636,0.77158656,1.0,131.18617,33.40628451,0.091405899,6.08198293,0.5057115,2.711486641,6.539173984,6.367144298,5.858620054,6.157286519,5.491948145,6.488722503,5.993654341,6.217687486,5.927058611,5.608946371,6.068080294,6.280520509,ENSMUSG00000024759
Plaat3,14637,0.30206016,0.915035221,129.47505,6.181978354,0.583380078,4.469165491,0.6753964,1.467387804,4.54064238,4.971003326,4.361183564,3.983236267,3.505082842,4.781464128,4.598680947,2.360796475,5.072214672,5.407036127,4.964108821,4.545377891,ENSMUSG00000060675
Slc3a2,14640,0.38204761,0.991948386,129.03426,6.1609319,0.090292036,9.774569647,0.43789154,1.61196344,9.542497396,10.05607055,9.919257316,9.783941278,9.640661027,9.566813229,9.907446794,9.688609291,9.661034983,9.833641397,9.792204532,9.811764358,ENSMUSG00000010095
Snhg1,14641,1.0,1.0,130.86897,0.0,0.06137098,10.22380891,0.24612753,1.913916599,10.55180453,10.16255299,10.20399772,10.32267119,9.818679278,10.0582543,10.58974732,10.19812923,10.05609944,10.18912427,10.34241029,10.0765234,ENSMUSG00000108414
Wdr74,14642,0.232879827,0.860775212,130.35963,87.13899682,0.24973792,6.566288825,0.39846343,1.235451653,5.976812834,6.654850464,6.267428366,6.855709347,6.689888741,6.582694918,6.588566817,6.829350766,6.471298403,6.275890239,6.750770364,6.768543385,ENSMUSG00000042729
1700092M07Rik,14643,1.0,1.0,129.20894,6.169272381,0.314601089,1.553271786,0.09301524,0.254933245,1.554275819,0.901124876,1.060880074,,1.843344614,2.08903381,,,0.748506651,2.065908618,2.516240909,,ENSMUSG00000090840
Stx5a,14644,0.778822173,1.0,130.61719,93.5476697,0.049765852,8.408419928,0.30083373,1.296245227,8.206541302,8.295425827,8.195686241,8.151472948,8.95617417,8.263974315,8.477387216,8.4576749,8.330849509,8.444519543,8.444840489,8.486260064,ENSMUSG00000010110
Nxf1,14645,1.0,1.0,130.14195,12.42764103,0.037985126,9.594002779,0.2424583,2.613270757,9.780321966,9.664029634,9.504986011,9.740876229,9.399343569,9.448912814,9.566577823,9.589456724,9.657394785,9.679573008,9.368465308,9.694725839,ENSMUSG00000010097
Tmem223,14646,0.01838736,0.51987607,127.970184,77.39493213,0.151608803,7.809450759,0.7680762,0.810478876,7.780477332,7.544188666,7.794691808,7.928359951,7.932572126,7.926221803,8.103842563,7.762442767,7.929429342,7.848386742,7.638635721,7.706386201,ENSMUSG00000117924
Tmem179b,14647,0.091809,0.707026316,128.42357,81.75698309,0.204061383,8.760660101,0.72152466,1.066087962,8.712053507,8.656532089,8.411251134,9.02363393,8.944852128,8.680020255,9.189961617,8.973138546,8.680858234,8.79438224,8.535734871,8.770940016,ENSMUSG00000118346
