sample,Gene,value,group,replicate
S_TP_60_REP_1,2610008E11Rik,17.15194474,Somite,1
S_TP_60_REP_2,2610008E11Rik,17.72722154,Somite,2
S_TP_60_REP_3,2610008E11Rik,17.65564893,Somite,3
S_TP_60_REP_4,2610008E11Rik,17.47479512,Somite,4
S_TP_90_REP_1,2610008E11Rik,17.09207285,Somite,1
S_TP_90_REP_2,2610008E11Rik,19.13232831,Somite,2
S_TP_90_REP_3,2610008E11Rik,17.60573484,Somite,3
S_TP_90_REP_4,2610008E11Rik,17.33981988,Somite,4
S_TP_120_REP_1,2610008E11Rik,17.62841361,Somite,1
S_TP_120_REP_2,2610008E11Rik,17.83159831,Somite,2
S_TP_120_REP_3,2610008E11Rik,17.00427517,Somite,3
S_TP_120_REP_4,2610008E11Rik,17.63658247,Somite,4
S_TP_30_REP_1,2700097O09Rik,22.14532139,Somite,1
S_TP_30_REP_2,2700097O09Rik,21.996662,Somite,2
S_TP_30_REP_3,2700097O09Rik,22.1347674,Somite,3
S_TP_30_REP_4,2700097O09Rik,22.08680102,Somite,4
S_TP_60_REP_1,2700097O09Rik,22.28326459,Somite,1
S_TP_60_REP_2,2700097O09Rik,22.3091471,Somite,2
S_TP_60_REP_3,2700097O09Rik,22.27277891,Somite,3
S_TP_60_REP_4,2700097O09Rik,21.97969139,Somite,4
S_TP_90_REP_1,2700097O09Rik,22.02809774,Somite,1
S_TP_90_REP_2,2700097O09Rik,21.85959412,Somite,2
S_TP_90_REP_3,2700097O09Rik,21.91869342,Somite,3
S_TP_90_REP_4,2700097O09Rik,22.1369277,Somite,4
S_TP_120_REP_1,2700097O09Rik,22.282643,Somite,1
S_TP_120_REP_2,2700097O09Rik,22.34759943,Somite,2
S_TP_120_REP_3,2700097O09Rik,22.12683363,Somite,3
S_TP_120_REP_4,2700097O09Rik,22.08157806,Somite,4
S_TP_30_REP_1,2900026A02Rik,19.77848137,Somite,1
S_TP_30_REP_2,2900026A02Rik,19.27553093,Somite,2
S_TP_30_REP_3,2900026A02Rik,19.86924056,Somite,3
S_TP_30_REP_4,2900026A02Rik,19.24294556,Somite,4
S_TP_60_REP_1,2900026A02Rik,19.99763817,Somite,1
S_TP_60_REP_2,2900026A02Rik,19.08856452,Somite,2
S_TP_60_REP_3,2900026A02Rik,18.82122789,Somite,3
S_TP_60_REP_4,2900026A02Rik,19.31548363,Somite,4
S_TP_90_REP_1,2900026A02Rik,19.6310496,Somite,1
S_TP_90_REP_2,2900026A02Rik,19.00296028,Somite,2
S_TP_90_REP_3,2900026A02Rik,19.06558316,Somite,3
S_TP_90_REP_4,2900026A02Rik,18.93584868,Somite,4
S_TP_120_REP_1,2900026A02Rik,19.43830829,Somite,1
S_TP_120_REP_2,2900026A02Rik,18.92523944,Somite,2
S_TP_120_REP_3,2900026A02Rik,20.06984002,Somite,3
S_TP_120_REP_4,2900026A02Rik,19.34797829,Somite,4
S_TP_30_REP_1,4930522L14Rik,19.99920841,Somite,1
S_TP_30_REP_2,4930522L14Rik,20.17673818,Somite,2
S_TP_30_REP_3,4930522L14Rik,19.60286825,Somite,3
S_TP_30_REP_4,4930522L14Rik,20.13246154,Somite,4
S_TP_60_REP_1,4930522L14Rik,20.32236994,Somite,1
S_TP_60_REP_2,4930522L14Rik,19.85172143,Somite,2
S_TP_60_REP_3,4930522L14Rik,20.11349002,Somite,3
S_TP_60_REP_4,4930522L14Rik,20.00434647,Somite,4
S_TP_90_REP_1,4930522L14Rik,20.19233329,Somite,1
S_TP_90_REP_2,4930522L14Rik,20.2635803,Somite,2
S_TP_90_REP_3,4930522L14Rik,20.27809384,Somite,3
S_TP_90_REP_4,4930522L14Rik,19.85162059,Somite,4
S_TP_120_REP_1,4930522L14Rik,20.10497373,Somite,1
S_TP_120_REP_2,4930522L14Rik,19.80012484,Somite,2
S_TP_120_REP_3,4930522L14Rik,20.22085996,Somite,3
S_TP_120_REP_4,4930522L14Rik,20.15284245,Somite,4
S_TP_30_REP_1,4933427D14Rik,18.38949589,Somite,1
S_TP_30_REP_2,4933427D14Rik,18.80145005,Somite,2
S_TP_30_REP_3,4933427D14Rik,18.24669368,Somite,3
S_TP_30_REP_4,4933427D14Rik,18.40487704,Somite,4
S_TP_60_REP_1,4933427D14Rik,18.24894297,Somite,1
S_TP_60_REP_2,4933427D14Rik,18.25611305,Somite,2
S_TP_60_REP_3,4933427D14Rik,18.37435813,Somite,3
S_TP_60_REP_4,4933427D14Rik,18.47205361,Somite,4
S_TP_90_REP_1,4933427D14Rik,18.01756058,Somite,1
S_TP_90_REP_2,4933427D14Rik,18.09221925,Somite,2
S_TP_90_REP_3,4933427D14Rik,18.55113397,Somite,3
S_TP_90_REP_4,4933427D14Rik,18.45163643,Somite,4
S_TP_120_REP_1,4933427D14Rik,18.29084621,Somite,1
S_TP_120_REP_2,4933427D14Rik,18.07043482,Somite,2
S_TP_120_REP_3,4933427D14Rik,18.29742856,Somite,3
