ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Cox6b2,5759,1.0,1.0,128.06192,40.76337523,0.039806524,6.661525005,0.08327325,2.182457428,6.422408652,6.926361618,6.424460369,6.67370522,7.045293666,6.648930736,6.667238973,6.135389532,6.7848141,6.45536164,6.765749587,6.983579985,ENSMUSG00000051811
Tmem238,5761,0.31911201,0.923608673,126.492035,52.34276481,0.534079021,2.826367727,0.6627828,1.508083176,3.552184696,1.622853889,3.669395435,,4.189640752,2.799323923,2.46541957,2.867841089,2.432927484,2.20622766,1.619830158,3.328944378,ENSMUSG00000030431
Rpl28,5762,0.362121563,0.962247194,130.59053,110.1558807,0.054711051,13.40492992,0.34979713,1.265080931,13.40190846,13.28993444,13.36378096,13.3046881,13.47914375,13.41378669,13.36581122,13.35904022,13.46045938,13.43919136,13.43433953,13.52255338,ENSMUSG00000030432
Ube2s,5763,0.93605625,1.0,129.52539,82.4584247,0.121363677,9.741678836,0.28287587,4.500610873,9.558949834,10.17795411,9.028122359,10.1851647,9.276570019,10.13741523,9.899850378,9.257559497,10.13310307,10.20602526,9.000254341,10.08743803,ENSMUSG00000060860
Isoc2a,5765,0.64657681,1.0,130.6768,99.82972435,0.255336476,2.979625115,0.74939424,2.226259914,2.894965454,2.042558596,3.246294166,2.709115706,2.626276168,3.360769767,2.46541957,3.765475299,3.396854694,3.327209704,3.216230426,2.7345405,ENSMUSG00000086784
Zfp628,5766,0.96028351,1.0,129.85048,128.1313428,0.549045725,5.552359733,0.26358828,0.704962992,5.421179505,5.578827858,5.372429902,5.36314483,5.463334318,6.027858669,4.978626209,5.112637822,5.538085915,5.638017422,6.460780531,6.423444491,ENSMUSG00000074406
Nat14,5767,0.56295009,1.0,132.20113,107.3063598,0.454600173,2.896219546,0.7643788,1.990866273,1.653558632,2.367279785,3.473299974,1.253869348,2.981682808,3.615879324,2.46541957,3.765475299,3.396854694,2.683023979,3.368803035,3.748679497,ENSMUSG00000035285
Ssc5d,5768,0.31483321,0.918860631,129.3082,69.97213171,0.53047351,4.077842731,0.54100484,1.502166646,3.413782549,4.301480165,4.23166291,4.617159168,4.319938871,4.078642077,3.972632457,5.112637822,4.523524481,2.20622766,4.908209546,3.621868962,ENSMUSG00000035279
Zfp579,5770,0.154449,0.747972423,128.58975,124.8407376,0.220387275,6.743562129,0.6831438,1.214293214,6.670530146,6.685267428,6.914779875,6.74993291,6.231989182,6.560580742,6.698988171,6.756159141,6.716037543,7.255653339,7.005774921,6.460975695,ENSMUSG00000051550
Fiz1,5771,1.0,1.0,130.28325,66.35271381,0.03681324,9.438069398,0.12721473,3.440625833,9.601418895,9.198479342,9.599063076,9.169155189,9.428741699,9.625449023,9.285462517,9.464685864,9.745243025,9.218232179,9.488628336,9.408661706,ENSMUSG00000061374
