sample,Gene,value,group,replicate
S_TP_30_REP_2,4732440D04Rik,3.370040186,Somite,2
S_TP_30_REP_3,4732440D04Rik,3.187404756,Somite,3
S_TP_60_REP_1,4732440D04Rik,3.843681057,Somite,1
S_TP_60_REP_2,4732440D04Rik,2.854865393,Somite,2
S_TP_60_REP_3,4732440D04Rik,3.911214062,Somite,3
S_TP_90_REP_1,4732440D04Rik,4.704031977,Somite,1
S_TP_90_REP_2,4732440D04Rik,2.349705361,Somite,2
S_TP_90_REP_3,4732440D04Rik,1.782603872,Somite,3
S_TP_120_REP_1,4732440D04Rik,2.775346848,Somite,1
S_TP_120_REP_2,4732440D04Rik,4.118849938,Somite,2
S_TP_120_REP_3,4732440D04Rik,2.919157383,Somite,3
S_TP_30_REP_1,Pcmtd1,8.373072966,Somite,1
S_TP_30_REP_2,Pcmtd1,7.890185519,Somite,2
S_TP_30_REP_3,Pcmtd1,7.843567827,Somite,3
S_TP_60_REP_1,Pcmtd1,8.387692803,Somite,1
S_TP_60_REP_2,Pcmtd1,8.003426612,Somite,2
S_TP_60_REP_3,Pcmtd1,8.214444409,Somite,3
S_TP_90_REP_1,Pcmtd1,7.908423231,Somite,1
S_TP_90_REP_2,Pcmtd1,8.20277408,Somite,2
S_TP_90_REP_3,Pcmtd1,7.986343821,Somite,3
S_TP_120_REP_1,Pcmtd1,7.846613129,Somite,1
S_TP_120_REP_2,Pcmtd1,8.157937797,Somite,2
S_TP_120_REP_3,Pcmtd1,8.089125957,Somite,3
S_TP_30_REP_1,Gm26901,4.35360466,Somite,1
S_TP_30_REP_2,Gm26901,3.456263155,Somite,2
S_TP_30_REP_3,Gm26901,2.337669373,Somite,3
S_TP_60_REP_1,Gm26901,3.843681057,Somite,1
S_TP_60_REP_2,Gm26901,4.860695682,Somite,2
S_TP_60_REP_3,Gm26901,4.058801229,Somite,3
S_TP_90_REP_1,Gm26901,3.874966092,Somite,1
S_TP_90_REP_2,Gm26901,4.425325493,Somite,2
S_TP_90_REP_3,Gm26901,2.220546216,Somite,3
S_TP_120_REP_1,Gm26901,4.861099256,Somite,1
S_TP_120_REP_2,Gm26901,4.502797855,Somite,2
S_TP_120_REP_3,Gm26901,5.316046111,Somite,3
S_TP_30_REP_1,Rrs1,8.020174496,Somite,1
S_TP_30_REP_2,Rrs1,8.674654683,Somite,2
S_TP_30_REP_3,Rrs1,7.932458259,Somite,3
S_TP_60_REP_1,Rrs1,8.05330304,Somite,1
S_TP_60_REP_2,Rrs1,7.691631031,Somite,2
S_TP_60_REP_3,Rrs1,7.801025048,Somite,3
S_TP_90_REP_1,Rrs1,7.305831737,Somite,1
S_TP_90_REP_2,Rrs1,7.534295594,Somite,2
S_TP_90_REP_3,Rrs1,7.870762189,Somite,3
S_TP_120_REP_1,Rrs1,7.816996357,Somite,1
S_TP_120_REP_2,Rrs1,7.962884725,Somite,2
S_TP_120_REP_3,Rrs1,7.747376456,Somite,3
S_TP_30_REP_2,Adhfe1,2.529991206,Somite,2
S_TP_30_REP_3,Adhfe1,3.052891767,Somite,3
S_TP_60_REP_2,Adhfe1,4.512243325,Somite,2
S_TP_60_REP_3,Adhfe1,2.551328359,Somite,3
S_TP_90_REP_2,Adhfe1,1.242287748,Somite,2
S_TP_90_REP_3,Adhfe1,1.782603872,Somite,3
S_TP_120_REP_2,Adhfe1,2.65476525,Somite,2
S_TP_120_REP_3,Adhfe1,1.401090044,Somite,3
S_TP_30_REP_1,2610203C22Rik,2.289479608,Somite,1
S_TP_30_REP_2,2610203C22Rik,4.168337256,Somite,2
S_TP_30_REP_3,2610203C22Rik,4.296628289,Somite,3
S_TP_60_REP_1,2610203C22Rik,3.348080579,Somite,1
S_TP_60_REP_3,2610203C22Rik,3.493604814,Somite,3
S_TP_90_REP_1,2610203C22Rik,4.083242293,Somite,1
S_TP_90_REP_2,2610203C22Rik,6.552590697,Somite,2
S_TP_90_REP_3,2610203C22Rik,3.72272051,Somite,3
S_TP_120_REP_1,2610203C22Rik,4.383896436,Somite,1
S_TP_120_REP_2,2610203C22Rik,4.969927663,Somite,2
S_TP_120_REP_3,2610203C22Rik,3.642363508,Somite,3
S_TP_30_REP_1,Mybl1,3.662933738,Somite,1
S_TP_30_REP_2,Mybl1,3.734508668,Somite,2
S_TP_30_REP_3,Mybl1,4.517036946,Somite,3
S_TP_60_REP_1,Mybl1,3.089719301,Somite,1
S_TP_60_REP_2,Mybl1,4.051885395,Somite,2
S_TP_60_REP_3,Mybl1,3.803705785,Somite,3
S_TP_90_REP_1,Mybl1,5.469032201,Somite,1
S_TP_90_REP_2,Mybl1,3.87355121,Somite,2
S_TP_90_REP_3,Mybl1,3.25423575,Somite,3
S_TP_120_REP_1,Mybl1,4.118520599,Somite,1
S_TP_120_REP_2,Mybl1,4.440166257,Somite,2
S_TP_120_REP_3,Mybl1,4.166483167,Somite,3
S_TP_30_REP_1,Vcpip1,8.00932828,Somite,1
S_TP_30_REP_2,Vcpip1,7.29467219,Somite,2
S_TP_30_REP_3,Vcpip1,7.26934622,Somite,3
S_TP_60_REP_1,Vcpip1,7.133538317,Somite,1
S_TP_60_REP_2,Vcpip1,7.403674362,Somite,2
S_TP_60_REP_3,Vcpip1,7.250336843,Somite,3
S_TP_90_REP_1,Vcpip1,7.032115599,Somite,1
S_TP_90_REP_2,Vcpip1,7.000149263,Somite,2
S_TP_90_REP_3,Vcpip1,7.31859046,Somite,3
S_TP_120_REP_1,Vcpip1,7.853923288,Somite,1
S_TP_120_REP_2,Vcpip1,7.512208578,Somite,2
S_TP_120_REP_3,Vcpip1,7.671988931,Somite,3
S_TP_30_REP_1,Sgk3,5.842666174,Somite,1
S_TP_30_REP_2,Sgk3,6.122334955,Somite,2
S_TP_30_REP_3,Sgk3,4.795041431,Somite,3
S_TP_60_REP_1,Sgk3,4.835357424,Somite,1
S_TP_60_REP_2,Sgk3,5.007724753,Somite,2
S_TP_60_REP_3,Sgk3,4.779756626,Somite,3
S_TP_90_REP_1,Sgk3,4.824942947,Somite,1
S_TP_90_REP_2,Sgk3,5.243166849,Somite,2
S_TP_90_REP_3,Sgk3,4.667021096,Somite,3
S_TP_120_REP_1,Sgk3,4.80185539,Somite,1
S_TP_120_REP_2,Sgk3,5.195241957,Somite,2
S_TP_120_REP_3,Sgk3,4.371009987,Somite,3
S_TP_30_REP_1,Mcmdc2,3.422501248,Somite,1
S_TP_30_REP_2,Mcmdc2,3.823714301,Somite,2
S_TP_30_REP_3,Mcmdc2,2.085384904,Somite,3
S_TP_60_REP_1,Mcmdc2,2.940823238,Somite,1
S_TP_60_REP_2,Mcmdc2,2.854865393,Somite,2
